Number,Name,Script,Face
0,최알바,안녕하세요. 점장님.,1111
1,점장님,에휴...,
2,최알바,무슨 고민 있으세요?,
3,점장님,야간 알바가 손님한테 라이터를 그냥 준 모양이다.,2222
4,점장님,재고가 많이 비어.,
5,최알바,라이터도 돈 받지 않나요?,
6,점장님,응 그래도 ⓑ담배 한보루ⓔ 사는 손님 있으면 ⓑ500원짜리 라이터 1개ⓔ는 줘도 된다고 했는데..,
7,점장님,ⓑ1000원짜리 터보 라이터ⓔ를 준 것 같아.,
8,,,
9,,,
10,점장님,너라도 주의 부탁한다.,
11,점장님,난 이만 가볼게.,3333
12,최알바,네! 알겠습니다.,
13,최알바,조심히 들어가세요.,
14,,(딸랑 딸랑),
15,무주택,안녕하세요 하하..,3_1_1
16,최알바,ⓐ윽 암내.. 표정 관리가 안되네.ⓔ,
17,최알바,어...어서오세요...,
18,무주택,안녕하세요.,
19,무주택,꼴이 조금 더럽죠? 민망하네요.,3_1_2
20,최알바,ⓐ냄새나서 그렇지 점잖은 분이신 듯?ⓔ,
21,,진상 3(남)은 뽀름달 빵을 가지고 온다.,
22,최알바,1600원입니다.,
23,무주택,저어..저기 그게...,3_2_2
24,선택지,,
25,,,
26,최알바,1600원도 없죠?,
27,최알바,그럴것 같았어요.,
28,무주택,형편이 좋지 않은 것 뿐입니다.,3_3_1
29,최알바,"뜸 들이지 마시고, 말씀 하세요.",
30,무주택,아..그게..,3_2_1
31,무주택,사실 돈이 부족합니다.,
32,무주택,선생님 조금만 도와주시면 안될까요?,3_2_2
33,무주택,너무 먹고 싶은데..,
34,선택지,,
35,,,
36,최알바,도와드릴 방법이 있을까요?,
37,무주택,그..혹시 외상은 안될까요?,3_2_2
38,,외상 안 갚으면 ⓑ내 돈으로 메꿔야 할텐데;;ⓔ,
39,선택지,,
40,,,
41,최알바,죄송하지만 외상은 안됩니다.,
42,무주택,"정말, 정말 안먹으면 저 죽어요",3_2_1
43,무주택,3일째 굶고 있습니다..,
44,최알바,갚으실 능력은 있으세요?,
45,최알바,꼭 갚을건가요?,
46,무주택,그럼요..! 비록 동냥질이 직업이긴 하지만..,
47,무주택,수입이 생기면 바로 갚겠습니다.,3_2_2
48,최알바,돈을 버시면 되잖아요.,
49,최알바,돈 없으면서 왜 오신거에요;;,
50,무주택,안 버는 게 아니라 수입이 없습니다.,3_3_1
51,무주택,요즘 사람들한테는 동냥이 안 통해서…,3_2_1
52,최알바,"말이 좋아 동냥이지, 구걸이잖아!!",
53,선택지,,
54,,,
55,최알바,동냥이 직업인 양 말하시네요.,
56,최알바,바쁜 사람들 붙잡고 구걸하면서 땡전 한 푼 나오길 바라세요?,
57,무주택,"직업이라고 할 순 없지만, 제가 할 수 있는 건 그것밖에 없어요.",
58,최알바,뭘 믿고 외상해줘요;;,
59,최알바,갚을 수 있긴 한거에요?,
60,무주택,수입이 생기면.. 바로 갚겠습니다.,3_2_1
61,무주택,믿어주세요.,3_2_2
62,선택지,,
63,,,
64,최알바,ⓡ외상해드릴게요.ⓔ,3_1_2
65,최알바,다음에 꼭 갚으셔야 합니다.,
66,무주택,아이고...선생님 감사합니다...!,3_2_2
67,최알바,네 안녕히가세요.,
68,무주택,꼭 갚도록 하겠습니다.,
69,,ⓡ무주택은 가벼운 발걸음으로 나간다.ⓔ,
70,최알바,ⓐ언젠간... 갚겠지?ⓔ,
71,최알바,나가주세요.,
72,무주택,선생님.. 한번만 베풀어 주세요.,3_1_2
73,무주택,저 정말 갚을 수 있어요.,3_2_2
74,무주택,이 추운 날에 빈속으로 다니면 선생님도 분명 마음이 불편하실거에요…,
75,최알바,전혀요. 돈 없으면 나가세요,
76,무주택,정말 너무하네요.,3_3_2
77,무주택,이렇게까지 부탁하는데..,3_3_1
78,무주택,저 외상해줄 때까지 안나갈겁니다,3_3_1
79,,진상 3은 카운터 앞에 눕는다.,
80,선택지,,
81,,,
82,최알바,뭐하세요?,
83,최알바,당장 일어나세요;,
84,무주택,"이깟 1,600 원 때문에..",3_3_1
85,무주택,이래도 되는거에요?! 에잇!,3_3_1
86,,ⓡ진상 3은 매대에서 껌을 한웅큼 집어 바닥에 흩뿌린다.ⓔ,
87,최알바,하지마세요 제발! 멈춰!,
88,무주택,당신도 내가 우스워보여서 막대하는거잖아!!!! ㅠㅠ,
89,최알바,ⓐ진상 3은 껌으로 바닥을 어질러 놓고선 밖으로 나갔다ⓔ,
90,최알바,ⓐ정리하느라 땀 좀 뺄 것 같다..ⓔ,
91,최알바,외상 안된다구요.,
92,최알바,저한테 왜 이러세요,
93,무주택,"겨우 1,600 원입니다..!",3_2_2
94,무주택, 한번만.. 한번만 그냥 주세요,
95,최알바,"겨우 1,600 원가지고 이러실겁니까?",
96,최알바,자꾸 이러시면 영업방해로 경찰 부를거에요.,
97,무주택,나야말로 억울해요.,3_2_1
98,무주택,갚는다고 했는데…,
99,최알바,ⓐ진상 3(남)은 슬그머니 일어서서 밖으로 나갔다.ⓔ,
100,최알바,ⓐ큰 사건 없이 보내서 다행이다.ⓔ,
101,,(딸랑 딸랑),
102,최알바,어서오세요.,7_1_1
103,서형준,"(전화중) 어, 나 편의점 왔어.",
104,서형준,"그래, 그래.",
105,최알바,뭐 드릴까요?,
106,서형준,허..ㅋㅋ 걔가 그래?,
107,서형준,난 그거 별론데,
108,최알바,ⓐ사람이 말을 하는데… 전화 좀 끊지.ⓔ,
109,선택지,,
110,,,
111,최알바,저기요 손님~,
112,최알바,뭐 드릴까요?,
113,서형준,ㅆㅂ!! 싫다고~!,
114,서형준,아 기다려봐. 나 담배 사게.,
115,서형준,말보루 블랙민트 하나요.,
116,최알바,……. ……,
117,최알바,….. …..,
118,서형준,ㅆㅂ!! 싫다고~!,
119,서형준,민재가 고른거지?,
120,서형준,아~~~ ㅈ나 구리다고~,
121,서형준,잠만 담배 사야돼,
122,서형준,저기요. 여긴 손님한테 말도 안걸어요?,
123,선택지,,
124,,,
125,최알바,뭐 드리면 될까요?,
126,서형준,(전화중) 어. 어 ㅋㅋㅋㅋ ㅈ나 웃기네,7_2_1
127,서형준,(전화중) 야 잠깐만,
128,서형준,말보루 블랙민트 하나요.,
129,최알바,걸었는데요..,
130,최알바,손님이 못 들으신 것 같아요.,
131,서형준,"(전화중) 야, 아. 야ㅋㅋ잠만.",
132,서형준 ,전화중인데요?,
133,서형준,ⓡ좀 못들은 걸로 꼽은..ㅋㅋ ㅆㅂⓔ,
134,서형준,말보루 블랙민트 하나 줘요.,
135,선택지,,
136,,,
137,최알바,신분증 좀 보여주세요.,
138,서형준,(전화중) 야 봤냐? ㅋㅋ,
139,서형준,(전화중) 나 신분증 검사한다~ㅆㅂ,
140,서형준,잠시만요ㅋㅋ,
141,서형준,근데 저 폰 들고있어서 꺼내기 불편한데.,
142,서형준,그냥 주시면 안돼요? 저 성인이거든요,
143,선택지,,
144,,,
145,최알바,신분증 꼭 보여주셔야 합니다,
146,서형준,아씨.. 귀찮게;; 잠깐만요.,
147,서형준,23 살? 나이도 어린게ㅡㅡ,
148,최알바,여깄습니다. ,
149,최알바,"4,500 원 입니다.",
150,서형준,(전화중) ㅋㅋㅄ 술은 무슨.,
151,서형준,(전화중) 아 잠만ㅋㅋ,
152,서형준,뭐라고요? 잘 못들어서.,
153,선택지,,
154,,,
155,최알바,전화 끊어주시면 안될까요?,
156,서형준,네? 아 죄송ㅋㅋ# (전화중) 야 닥쳐봐,
157,서형준,ⓡ몰라. 직원분이 나한테 개지랄하잖어ⓔ,
158,최알바,ⓐ전화충 이 XX 끼 끝까지 전화하네ⓔ,
159,최알바,"4,500 원입니다",
160,서형준,네. (전화중) ㅋㅋㅋ 금방 갈게,
161,최알바,결제 됐습니다.,
162,최알바,안녕히가세요.,
163,,진상은 담배를 챙겨 밖으로 나갔다. (물론 전화는 끊지 않았다.),
164,최알바,ⓐ이 육수 X 끼.. 전화 중독인게 분명해ⓔ,
