Number,Name,Scrpit
0,,(딸랑 딸랑)
1,최알바,어서오세요.
2,진상7,"(전화중) 어, 나 편의점 왔어."
3,진상7,"그래, 그래."
4,최알바,뭐 드릴까요?
5,진상7,허..ㅋㅋ 걔가 그래?
6,진상7,난 그거 별론데
7,,사람이 말을 하는데… 전화 좀 끊지.
8,선택지,
9,,
10,최알바,저기요 손님~
11,,뭐 드릴까요?
12,진상7,ㅆㅂ!! 싫다고~!
13,진상7,아 기다려봐. 나 담배 사게.
14,진상7,말보루 블랙민트 하나요.
15,최알바,……. ……
16,최알바,….. …..
17,진상7,ㅆㅂ!! 싫다고~!
18,진상7,민재가 고른거지?
19,진상7,아~~~ ㅈ나 구리다고~
20,진상7,잠만 담배 사야돼
21,진상7,저기요. 여긴 손님한테 말도 안걸어요?
22,선택지,
23,,
24,최알바,뭐 드리면 될까요?
25,진상7,(전화중) 어. 어 ㅋㅋㅋㅋ ㅈ나 웃기네
26,진상7,(전화중) 야 잠깐만
27,진상7,말보루 블랙민트 하나요.
28,최알바,걸었는데요..
29,최알바,손님이 못 들으신 것 같아요.
30,진상7,"(전화중) 야, 아. 야ㅋㅋ잠만."
31,잔성7,전화중인데요?
32,진상7, 좀 못들은 걸로 꼽은..ㅋㅋ ㅆㅂ
33,진상7,말보루 블랙민트 하나 줘요.
34,선택지,
35,,
36,최알바,신분증 좀 보여주세요.
37,진상7,(전화중) 야 봤냐? ㅋㅋ
38,진상7,(전화중) 나 신분증 검사한다~ㅆㅂ
39,진상7,잠시만요ㅋㅋ
40,진상7,근데 저 폰 들고있어서 꺼내기 불편한데.
41,진상7,그냥 주시면 안돼요? 저 성인이거든요
42,선택지,
43,,
44,최알바,신분증 꼭 보여주셔야 합니다
45,진상7,아씨.. 귀찮게;; 잠깐만요.
46,,23 살? 나이도 어린게ㅡㅡ
47,최알바,여깄습니다. 
48,최알바,"4,500 원 입니다."
49,진상7,(전화중) ㅋㅋㅄ 술은 무슨.
50,진상7,(전화중) 아 잠만ㅋㅋ
51,진상7,뭐라고요? 잘 못들어서.
52,선택지,
53,,
54,최알바,전화 끊어주시면 안될까요?
55,진상7,네? 아 죄송ㅋㅋ# (전화중) 야 닥쳐봐
56,진상7,몰라. 직원분이 나한테 개지랄하잖어
57,,전화충 이 XX 끼 끝까지 전화하네
58,최알바,"4,500 원입니다"
59,진상7,네. (전화중) ㅋㅋㅋ 금방 갈게
60,최알바,결제 됐습니다.
61,최알바,안녕히가세요.
62,,진상 7(남)은 담배를 챙겨 밖으로 나갔다. (물론 전화는 끊지 않았다.)
63,,이 육수 X 끼.. 전화 중독인게 분명해
