Number,Name,Script,Face
0,,(딸랑 딸랑),
1,최알바,어서오세요.,8_1_2_a
2,최민서,…. 안녕하세요.,
3,최알바,ⓐ자발적 귀머거리형 ㅠㅠ ⓔ,
4,최알바,ⓐ이번엔 에아팟좀 빼주려나?ⓔ,
5,최알바,ⓐ최민서(여)은 물건을 계산대에 올려놓고#ⓔ,8_1_2_b
6,최알바,ⓐ에아팟 한쪽을 뺀다.ⓔ,
7,최알바,ⓐ오 발전했네..!ⓔ,
8,최알바,ⓐ한꺼번에 물어봐야지.ⓔ,
9,최알바,봉투 100원인데 필요하신가요?,
10,최알바,적립은 하세요?,
11,최민서,네. 주세요. 적립은 안할게요.,8_1_1_b
12,최알바,ⓐ바코드를 찍기 시작하자 그녀는 에아팟을 다시 귀에 꽂는다.ⓔ,8_1_1_a
13,최알바,5#620원 입니다. ,
14,최민서,…… .,
15,최알바,ⓐ그녀는 현금으로 만원을 건넸다.ⓔ,
16,최알바,ⓐ거스름돈.. 천원짜리 4장# 백원짜리 3개ⓔ,
17,최알바,ⓐ그리고…ⓔ,
18,최민서,….. ….. .,
19,최민서,기프티콘 금액권 잔액 쓸게요.,8_2_2_a
20,최민서,차액만 현금 결제해주세요.,
21,최알바,ⓐ아씨.. 귀찮은데;;ⓔ,8_2_3_a
22,최알바,ⓐ미리 말하지..ㅠⓔ,
23,,,
24,,,
25,최알바,이미 결제 했는데..ㅠ,
26,최알바,미리 말씀 하셨어야죠., 
27,최민서,……… ,8_2_1_a
28,최알바,ⓐ에휴.. 해달란 대로 해줘야지 뭐.ⓔ,
29,최알바,… 결제 다시 도와드릴게요ㅎ,
30,최알바,ⓐ거스름 돈을 다시 집어넣고#  기프티콘을 찍는다.ⓔ,
31,,[ 띠 - - - ]  [POS] 이미 사용된 상품권입니다.,
32,최알바,…. 이미 사용 완료됐다네요. ,
33,최알바,잔액이 없는 것 같은데..,
34,최민서,……… . ,
35,최알바,ⓐ안들리나봐. 어쩌지…ⓔ,
36,,,
37,,,
38,최알바,거스름돈입니다.,
39,최민서,…. 뭐에요?  (에아팟을 뺀다.),8_2_1_b
40,최민서,기프티콘 잔액 사용한다니까요?,
41,최알바,에아팟 좀 빼주세요^^;;   (바디랭귀지),
42,,… (에아팟을 뺀다.),8_2_1_b
43,,,
44,,,
45,최알바,거.. 노래 못들으면 죽습니까? ,
46,최알바,다 쓴 기프티콘이래요. ,
47,최민서,ⓡ상당히 기분나빠 보이시네요?ⓔ,
48,최민서,다음에 사던지 할게요.,
49,최알바,ⓐ그녀는 불쾌하다는 듯 째려보며 매장을 나갔다.ⓔ,
50,최알바,기프티콘이 이미 사용 완료라서요ㅎㅎ.. ,
51,최알바,이건 거스름돈이구요.,
52,최알바,아.. 네.,
53,최알바,ⓐ그녀는 머쓱해하며 밖으로 나갔다.ⓔ,
54,최알바,ⓐ제발 귀에 콩나물좀 빼!!!! 빼라고!! ㅠㅠⓔ,
