Number,Name,Script,Face
0,,(딸랑 딸랑),
1,최알바,어서오세요.,
2,박미자 ,안녕 총각♥ 호호  ,4_3_1
3,박미자 ,오늘은 공병 좀 가져왔는데~,
4,박미자 ,많지는 않구.. ~  ,
5,박미자 ,아마 한 30병인가~? 그럴거야^^ㅋ,
6,박미자 ,받아줄거지?,
7,,,
8,,,
9,최알바,ⓡ네. 가져오세요ⓔ.  ,
10,최알바,정확히 몇병인진 모르세요?,
11,박미자 ,응~ 아마 30 병 맞을거야~~!,4_1_1
12,박미자 ,내가 워낙 바쁜몸이라..~  ,
13,박미자 ,시간이 없어서~~ 3#000 원 얼릉 줘ㅋ,4_2_1
14,박미자 ,병은 창고에 가져다 놓으면 되지용~?,
15,최알바,ⓐ정확히 몇병인지도 모르는데.. 어떡하지.ⓔ,
16,,,
17,,,
18,최알바,잠시만 기다려주세요.  ,
19,최알바,몇 병인지 정확히 알아야 해요.,
20,박미자 ,아니.. 총각# 나 바쁘다니까??  ,4_2_2
21,박미자 ,빨리 줘# 3000 원.,4_1_2
22,최알바,ⓐ역시.. 22 병이다.ⓔ  ,
23,최알바,ⓐ하마터면 큰일날 뻔 했네.ⓔ,
24,박미자 ,바쁜 현대인 잡아두고 뭐하는거야~~!? 허 참,
25,최알바,22 병이네요.  ,
26,최알바,2#200 원 드릴게요.,
27,박미자 ,내가! 뭐! 거짓말치기라도! 했다는 거야?!,4_2_2
28,박미자 ,그렇게 안봤는데..  ,
29,박미자 ,나 이상한 사람으로 몰고가네~~?ㅋ 참,
30,박미자 ,바빠도 기다려줬구만. ,
31,박미자 , 겨우 8 병가지고 이래도 되는거야~?,
32,최알바,어쨌든 8 병 모자라요.  ,
33,최알바,돈은 여깄습니다.,
34,박미자 ,젊은 사람이 그렇게 쪼잔하게 살면 안돼 - !! 흥.,4_1_2
35,최알바,30 병 맞죠?  ,
36,최알바,믿고 드리는 겁니다!,
37,박미자 ,아휴 그럼~~♥,4_1_1
38,박미자 ,우리가 어떤 사이인데.,
39,,그녀는 가벼운 팔자걸음을 뽐내며 밖으로 나갔다.,
40,최알바,ⓡ…. ……..  아…X 친. 26 병이다.ⓔ,
41,최알바,ⓐ후…. 스트레스 받는다.ⓔ,
42,,,
43,최알바,30 병까진 안돼요.  ,
44,최알바,15 병까지만 받습니다.,
45,박미자 ,에구머니나?  ,4_3_2
46,박미자 ,저번에는 받았었는데~?,
47,박미자 ,어디보자..  하나# 두이# 석삼# 넉사 ··· .,4_2_1
48,박미자 ,이제보니까 22 병이네~ 호호!  ,4_1_1
49,박미자 ,한번만 받아줘용!~~ㅋ 30병도 아닌데.,
50,,와.. 22 병이면서 30 병 뻥튀기 뭐야;;,
51,박미자 ,앞으로 자주 볼 사이잖엉~♥ㅋ  ,
52,박미자 ,이번 한번만 부탁해용~~~,
53,,,
54,,,
55,최알바,진짜 안됩니다.  ,
56,최알바,15 병만 받고 1#500 원 드릴게요.,
57,박미자 ,후.. 말이 안통하는 총각이네~?,4_1_2
58,박미자 ,아 C! 됐어# 됐어!!,
59,박미자 ,15 병만 줄거같으면 니네한테 안팔지 - - -!!!,
60,최알바,아# 예. 안녕히 가세요.,
61,박미자 ,나 아직 나가지도 않았거든?!,
62,박미자 ,ⓡ집가서 신고할거니깐# 그 렇게 알아!ⓔ,4_2_2
63,,그녀는 한참을 씩씩거리더니 나갔다.,
64,최알바,ⓐ고약하게 생겨선 성질도 고약하다.  ⓔ,
65,최알바,ⓐ명불허전 관상=사이언스ⓔ,
66,최알바,사기꾼도 아니고..  그냥 안받으렵니다.,
67,박미자 ,야!! 보자보자 하니까..,4_2_2
68,박미자 ,니가 무슨 권리로 안받어-?!,
69,최알바,권리는 없는데요# 그냥 안받을래요.,
70,최알바,설득할 자신도 없어요.  조심히 들어가세요.,
71,박미자 ,어머머머?! 기가 차서 정말 … ~!,
72,박미자 ,이..일단.. 15병만 받아줘요.  나머진 다음에 가져올테니.,
73,,1#500 원을 건네자 박미자는 조금 창피한 듯 고개를 숙인 채 밖으로 나갔다.,
74,최알바,ⓐ저 사람은 한번만 봐도 기 빨린다..  ⓔ,
75,최알바,ⓐ다음 생에는 모기가 되지 않을까?ⓔ,
