Number,Name,Script
0,,(딸랑 딸랑)
1,최알바,어서오세요.
2,진상 6,안녕하세요  레증 프렌치요구 주세용
3,,쓰읍… 많이 쳐줘야 고딩같은데…  근데 뭔가 낯이 익기도 하고?
4,,
5,,
6,최알바,신분증 보여주세요.
7,진상 6,아 안가져왔는데
8,,그녀는 안가져왔다며 그냥 그자리에 서있었다.  뭐 어쩌라는건지.
9,최알바,신분증이 없으면 담배 못 팝니다.
10,진상 6,저 여기 담배 저번에 사갔었어요.
11,,
12,,
13,최알바,전 기억에 없는데요.  다른 알바생인 것 같네요.
14,최알바,저는 모르는 일이니#  검사하셔야 돼요.
15,진상 6,진짜 안돼요?
16,,내가 매우 단호했던걸까
17,,그녀는 포기하고 편의점에서 나갔다.
18,최알바,아 그래요? 그럼 인정입니다ㅋㅋ
19,진상 6,오~. 4500 원 놓고 갈게요.
20,최알바,"네. 4,500 원입니다"
21,,손님은 살짝 놀란 눈치였지만#  담배를 챙기고 떠났다.
