Number,Name,Script
0,,(딸랑 딸랑)
1,최알바,어서오세요.
2,서형준 ,(통화중) 아니 걔 X 밥이라니까.
3,서형준 ,그냥 바르지~ 보여줘? 보여줘!?ㅋㅋ
4,서형준 ,ㅋㅋㅋㅋㅋㅋ 야 뒤진다.
5,최알바,ⓐ아씨 나한테 말하는 줄 알았네..ⓔ
6,최알바,ⓐ문신충 육수 X 끼.ⓔ
7,최알바,ⓐ딱봐도 한심하게 사는게 보인다# 보여.ⓔ
8,서형준 ,(통화중)어~ ㅋㅋ 그거 짭이라매?
9,서형준 ,야 잠깐 끊자.
10,서형준 ,어# 저기. 말보루 블랙민트 하나요.
11,최알바,손님.. 결제는…
12,서형준 ,잠깐만요~ㅋㅋ
13,,서형준은 구찌 지갑과 BMW 차 키를 계산대 앞에 올려놓는다.
14,최알바,ⓐ어쩌라는거지…ⓔ
15,,벙찐 나를 보고# 그는 흐뭇한 미소를 짓는다.
16,서형준 ,이 카드로 결제해주세요ㅋ
17,,[POS] 잔액이 부족합니다.  결제방식을 다시 선택해주세요
18,,
19,,
20,최알바,손님.. 잔액 부족이라고 뜨는데요?
21,서형준 ,아 ㅆㅂ 돈이 왜 없어?  다시 긁어봐.
22,최알바,ⓐ니 돈이 없는 걸 왜 나한테 물어 병 X 아..ⓔ
23,최알바,다시 긁어도 잔액 부족이라고 뜨는데요?
24,서형준 ,아니 하.. 니가 잘못 긁은거겠지.
25,최알바,결제가 안된다는데요.
26,최알바,혹시 다른 카드 있으세요?
27,서형준 ,그럴리가 없는데 ㅆㅂ
28,서형준 ,잘못 긁은 거 아냐?
29,서형준 ,다시 긁어봐.
30,,돈이 없으니까 안긁히지 병 X 아..
31,최알바,다시 긁어보니 잔액 부족이라고 뜨네요.
32,서형준 ,내가 돈이 없어보이냐? ㅆㅂ
33,서형준 ,없는 말 막 지어내고있어.
34,서형준 ,아.. 개빡치네.
35,서형준 ,걍 현금으로 할게.
36,최알바,넵 결제 되셨습니다.
37,최알바,ⓐ자연스럽게 말 놓네.. 가오충 X 끼.ⓔ
38,최알바,ⓐ그는 쪽팔린지 거스름 돈을 주머니에 우겨넣고 서둘러 밖으로 나갔다.ⓔ
