Number,Name,Script
0,,(딸랑 딸랑)
1,최알바,어서오세요.
2,김지훈,야# 알바.
3,김지훈,저기~ 그 뭐야!
4,최알바,ⓐ아씨.. 반말해서 살짝 기분은 나쁘지만 참아야지..ⓔ
5,최알바,ⓐ익숙해져야 한다.ⓔ
6,김지훈,침이슬 한병만 가져다 줘라.
7,김지훈,오늘 공사 뛰고 와서 다리가 많이 아파~
8,최알바,ⓐ아무리 봐도 멀쩡해 보이는데;;ⓔ
9,,
10,,
11,최알바,여깄습니다.
12,최알바,원래는 직접 가지고 오셔야 해요…
13,김지훈,거 되게 생색내네.
14,김지훈,넌 어른 공경도 모르냐?
15,최알바,ⓐ아니# 내가 뭘 잘못 말했나?ⓔ
16,최알바,ⓐ왜 저러지..ⓔ
17,,
18,,
19,최알바,틀린 말 했습니까?
20,최알바,다리 아픈 건 손님 사정이죠
21,최알바,그리고 어쨌든 가져다 드렸잖아요?
22,최알바,다음에 또 그러실 것 같아서 말씀드린거에요
23,김지훈,ⓡ어린 게 눈 시퍼렇게 뜨고 지금 말대답 하는겨 시방?ⓔ
24,김지훈,가게가 여기밖에 없는 줄 알아?
25,최알바,오해입니다.
26,최알바,카운터에 현금이 있다보니까 자리를 비우면 안돼서요..ㅎㅎ
27,최알바,생색 내려고 한 건 아니었는데..
28,최알바,정말 죄송합니다.
29,김지훈,옘병.. 내가 돈 훔칠 사람으로 보인다는거야 뭐야!?
30,김지훈,지금껏 한 점 부끄러움 없이 살았는디.
31,김지훈,그런 나를 의심하는거여?
32,최알바,편의점은 셀프에요.
33,최알바,손님께서 가져오셔야 합니다.
34,김지훈,내가 일부러 그랬다냐?
35,김지훈,아픈 사람은 배려해야 마땅한거여~
36,최알바,ⓐ아니# 내가 뭘 잘못 말했나?ⓔ
37,최알바,ⓐ왜 저러지..ⓔ
38,,
39,,
40,최알바,죄송합니다.
41,최알바,배려해드리고 싶지만…
42,최알바,카운터에 현금이 있어서 자리 비우면 안됩니다.
43,김지훈,옘병.. 내가 돈 훔칠 사람으로 보인다는거야 뭐야!?
44,김지훈,지금껏 한 점 부끄러움 없이 살았는디.
45,김지훈,그런 나를 의심하는거여?
46,최알바,네# 모르구요.
47,최알바,일부러 그러신 거 맞잖아요.
48,최알바,아픈 사람이 화낼 기운은 있나봅니다~ 대단하네요.
49,김지훈,뭐# 뭐여!?
50,김지훈,ⓡ요즘 것들은 주인 의식이라는게 없어!ⓔ
51,김지훈,주인 의식이 있으면 이딴식으로 못 대하지.
52,김지훈,손님 귀한 줄 모르고.
53,김지훈,여기는 직원 교육부터가 잘못됐어.
54,김지훈,내가 본사에 민원넣을거여!
55,,
56,,
57,최알바,죄송합니다. 민원은 제발 넣지 말아주세요.
58,김지훈,흥# 운 좋은 줄 알어!
59,김지훈,나니까 넘어가주는거야
60,최알바,후우…. 넣으세요. 저 어차피 곧 그만둬요.
61,김지훈,ⓡ즈그 애비 뻘인데도 이리 싸가지가 없어서야.ⓔ
62,최알바,ⓐ그냥 가버렸다.ⓔ
63,최알바,ⓐ저런 사람은 일찍 뒤졌으면 좋겠다.ⓔ
