Number,Name,Script
0,,(딸랑 딸랑)
1,최알바,어# 안녕하세요.
2,김미경 ,안녕하세요~ ^^
3,,김미경 님은 온장고에서 꿀물을 가져온다.
4,김미경 ,계산 부탁드려요.
5,,(딸랑 딸랑)
6,서형준 ,블랙민트 담배 하나 줘요.
7,김미경 ,^^;; 저기.. 저 계산중이라서요.
8,서형준 ,아..ㅆ 바쁜데 뭐요# 말 걸지 마요.
9,최알바,ⓐ????? 너무 당당하게 끼어들어서 할말을 잃었다ⓔ
10,최알바,ⓐ어떻게 해야하지?ⓔ
11,최알바 ,ⓐ먼저 온 손님부터 해야하는데..ⓔ
12,,
13,,
14,최알바,손님 진짜 죄송합니다.
15,최알바,이분 담배만 빨리 결제하고 해드릴게요.
16,서형준 ,뭘 허락을 받아요ㅋㅋ 그냥 하면 되지
17,최알바,ⓐ원래 온 손님부터 해야하는데..ⓔ
18,최알바,ⓐ일단 쫄리니까 이분부터 하자 ㅠⓔ
19,최알바,4500 원 결제 되셨습니다.
20,최알바,안녕히 가세요.
21,서형준 ,수고~ㅋㅋ
22,,서형준은 밖으로 나갔지만#  김미경 님은 살짝 화난 것 같다.
23,김미경 ,저기요.. 아무리 그래도ㅎㅎ^^
24,김미경 ,제가 먼저 왔는데.
25,김미경 ,ⓡ되게 기분 나쁘네요..ⓔ
26,최알바,아.. 죄송합니다.
27,김미경 ,아뇨.. 그냥 그렇다고요.ㅎㅎ
28,김미경 ,물건은 다음에 사러 올게요.
29,최알바,ⓐ아씨.. ㅠㅠ 괜히 죄송하네.ⓔ
30,최알바,먼저 온 손님부터 결제해드릴게요.
31,최알바,조금만 기다려주세요.
32,서형준 ,하…씨. 바쁘다니니깐요?
33,최알바,ⓐ무시하자. 무시..ⓔ
34,최알바,결제 다 되셨어요.
35,김미경 ,봉투는… 음. (눈치)  그냥 가져갈게요.
36,김미경 ,안녕히 계세요ㅎㅎ;
37,최알바,네# 안녕히 가세요
38,최알바,다음 손님# 담배 계산해드릴게요.
39,,서형준은 살짝 화가 난 것 같다…
40,서형준 ,겨우 담배 하나 사는데  이렇게 기다려야 해요? 하 ㅆㅂ
41,서형준 ,사과해.
42,,
43,,
44,최알바,죄송합니다.
45,최알바,다음부터는 먼저 계산해 드릴게요..
46,서형준 ,조심하자~ 응?
47,최알바,….. ……
48,서형준 ,사과하라고. 귀 먹었냐?
49,최알바,…. …..
50,서형준 ,ⓡ또 그러면 진짜 뒤진다.ⓔ
51,,그는 한참을 째려보다 밖으로 나갔다.
