Number,Name,Script
0,,♪ ♬ ♪ ♪
1,김단짝,여보세요? 야!
2,주인공,오늘 왜 이렇게 일찍 전화했냐
3,김단짝,편의점에 걔 찾아왔었지.
4,김단짝,눈 째지고 피어싱 낀 놈
5,주인공,??? 그걸 어떻게 알았어?
6,김단짝,걔가 나한테 문자 남겼던데?
7,김단짝,대화 잘 통하는 친구 만난 것 같다고.
8,김단짝,너 걔랑 친해지고 싶어?
9,,
10,,
11,주인공,친해지고 싶어. 나쁘진 않았어.
12,김단짝 ,걔 신천지인건 알아?
13,김단짝 ,대체 왜 친해지고 싶은건데?
14,,
15,,
16,주인공,말 엄청 잘하던데? 본받고 싶어서.
17,김단짝,그냥 책을 많이 읽어 미친놈아
18,주인공,ㅇㅇ.. 노력해봄
19,김단짝 ,엉. 다음에 찾아오면 진짜 쫓아내라
20,,
21,주인공,신천지 신기하잖아. 살면서 처음 봤어.
22,김단짝,유감.
23,김단짝,지팔지꼰이라는게 이런거구나…
24,주인공,ㅋㅋㅋㅋ 장난이지.
25,김단짝,그럼 다행이고.
26,김단짝 ,상대도 하지마라 진짜
27,,
28,,
29,주인공,딱히..? 친해질 마음 없어.
30,김단짝,"그치? 절대 가까이 두지 마라, 신천지니까."
31,김단짝,인생에서 멀리해야할 건 이단과 다단계다.
32,김단짝,궁금하다고 괜히 친해질 생각 하지마
33,김단짝,쥐도새도 모르게 스며드는게 신천지여
34,,
35,,
36,주인공,갑자기 궁금해졌다. 한번 친해져볼까?
37,김단짝,유감.
38,김단짝,지팔지꼰이라는게 이런거구나…
39,주인공,ㅋㅋㅋㅋ 장난이지.
40,김단짝,그럼 다행이고.
41,김단짝,상대도 하지마라 진짜 
42,,
43,주인공,당연하지.
44,김단짝,엉. 다음부턴 그냥 상대도 하지 마셈.
45,,
46,김단짝,이만 자러감.
47,주인공,"어, 잘자라."
48,김단짝,ㅂㅂ 파이팅~~ 
