Number,Name,Script,Face
0,,(딸랑 딸랑),
1,최알바,어서오세요. ,1_2_1
2,나꼴초 ,"어, 그래. ",
3,최알바,ⓐ오늘 기분 좋으신가?# 굉장히 업 돼있네.ⓔ,
4,나꼴초 ,니.. 거울 있나?,1_2_3
5,최알바,네?,
6,나꼴초 ,저~… 뭐야# 내가 감자탕 먹고 왔그등.,1_2_2
7,나꼴초 ,"이빨에 뭐 꼈는지 봐야 하니까, 거울 좀 달라고.",
8,최알바,거울 없는데요,
9,나꼴초 ,그럼 니가 봐주던가,1_1_3
10,나꼴초 ,(이를 내민다.),
11,나꼴초 ,(커다란 고춧가루가 끼어있다.),
12,최알바,…. 꼭 봐야 해요?,
13,나꼴초 ,마!!! 니가 좀 봐줘라. ,1_2_2
14,나꼴초 ,오후에 미쓰킴 만나러 간다이가,
15,나꼴초 ,이젠 정말 장가 가야 할 때라고.. 어?,
16,최알바,ⓐ구라칠까? 나 이사람 싫은데..ⓔ,
17,선택지,,
18,,,
19,최알바,이빨에 아무것도 안꼈어요.,
20,나꼴초 ,그래? 알았다.,1_2_1
21,나꼴초 ,미쓰킴이 나보고 살인미소라 카데?,
22,나꼴초 ,잇몸 펼쳤는데 고춧가루 있으면 좀 그렇다,
23,최알바,….. 그래도 수시로 거울 보세요.,
24,최알바,혀에 있던게 이빨에 끼는 경우도 있어요.,
25,나꼴초 ,그래? 여기 거울같은건 안파나?,
26,나꼴초 ,(거울을 가져온다.),
27,최알바,"6,000원입니다.",
28,나꼴초 ,아따 ㅈ~ㄴ 비싸네 그치?,
29,최알바,… 결제 했습니다. ,
30,나꼴초 ,(거울을 본다.),
31,나꼴초 ,싯팔… 그 사이에 고춧가루 꼈노,
32,나꼴초 ,고맙다잉 알바야.,1_2_1
33,나꼴초 ,이러고 미쓰킴 앞에서 잇몸 만개할 뻔 했다,
34,나꼴초 ,잘 있어라,
35,최알바,네. 안녕히 가세요..,
36,최알바,이빨에 고춧가루 있어요.,
37,나꼴초 ,어디있노 내는 잘 모르겠는데.,1_2_3
38,나꼴초 ,요지 있나?,
39,최알바,이쑤시개요?,
40,나꼴초 ,뭘 되물어보노# 알아들었으면 퍼뜩 가져오지. ,1_1_1
41,최알바,가져오셔야 해요. ,
42,나꼴초 ,낱개로 없나?,
43,최알바,있을리가요….,
44,나꼴초 ,"노력이 없노, 노력이.",1_1_2
45,나꼴초 ,나무 젓가락 줘봐라,
46,나꼴초 ,(나무 젓가락을 반으로 쪼갠다.),
47,나꼴초 ,날카로운거 보이지?,
48,나꼴초 ,이걸로 쑤시면 된다.,
49,나꼴초 ,ⓡ난 안보여서 잘 모르니까 니가 쑤셔라ⓔ,
50,최알바,……네?,
51,나꼴초 ,한번에 좀 알아들어라,
52,최알바,…… …….,
53,최알바,ⓐ결국 고춧가루 빼기는 성공했다.ⓔ,
54,최알바,ⓐ비위상해서 죽을 것 같았다…ⓔ,
55,최알바,안녕히 가세요….,
