Number,Name,Script
0,최알바,ⓐ여기 맞나?ⓔ
1,최알바,ⓐ우선 인사드려야겠다.ⓔ
2,최알바 ,안녕하세요. 혹시..
3,점장님,어# 반가워요.
4,점장님,단짝이 대타 맞죠?
5,최알바,네. 맞아요
6,최알바,어떻게 아셨어요?
7,점장님,우리 편의점은 단골만 오거든요.
8,점장님,처음보는 얼굴이라 바로 알았어요.
9,최알바,아# 넵. 잘 부탁드립니다.
10,점장님,편의점에서 일 한 적 있다고 들었어요.
11,점장님,우린 손님이 별로 없는 편이에요.
12,점장님,단골 유지가 필수니까# 성심성의껏 응대 해줘요.
13,최알바,넵! 당연하죠.
14,점장님,참# ⓑ봉투값 받는 거 알죠?ⓔ
15,점장님,ⓑ유통기한 지난 상품은 웬만하면 주지마세요.ⓔ
16,점장님,걸리면 제가 귀찮아져서요..
17,점장님,ⓑ양심에 맡기겠습니다.ⓔ
18,최알바,네! 알겠습니다.
19,점장님,오늘 월요일이니까..
20,점장님,… 일요일까지 수고해요.
21,최알바,ⓐ점장님이 나가셨다.ⓔ
22,최알바,ⓐ이제 손님 받으면 되는건가?ⓔ
23,,(딸랑 딸랑)
24,최알바,ⓐ바로 손님 오네..ⓔ
25,최알바,ⓐ양반은 못되시겠구만ㅋㅋⓔ
26,최알바,어서오세요.
27,나꼴초 ,…처음보는디. 새로 온겨?
28,최알바,ⓐ뭐지# 이 고약하게 생긴 사람은.ⓔ
29,최알바,네. 오늘 일 시작했어요.
30,나꼴초 ,나 담배 하나줘.
31,최알바,ⓐ첫손님부터 반말… 후ⓔ
32,최알바 ,ⓐ진짜 재수없다.ⓔ
33,,
34,,
35,최알바,그래. 담배 뭘로 줄까?
36,진상 1,뭐..뭐? 시방 지금 반말한거여?!
37,최알바,나 지금 X 된건가..?
38,최알바,반말로 하길래 반말로 한 것 뿐인데.
39,최알바,이런건 초장에 잘 잡아놔야 해. 
40,,
41,,
42,최알바,"아, 뭐.친근한 맘에."
43,최알바,"담배 달라며, 뭐줄까?"
44,진상 1,이런 싸가지없는…
45,,
46,최알바,"전 손님이 먼저 반말하셔서 한건데요, 기분나쁘셨다면 죄송하네요."
47,진상 1,쏜님이 왕인데# 닌 반말하모 안되지.
48,,
49,,
50,최알바,넵! 담배 어떤거 드릴까요?
51,진상 1,엣thㅐ나잇뜨.
52,최알바 ,뭐라는거야.. 발음 왜저래.
53,,
54,,
55,최알바,이빨 빠지셨어요?
56,최알바,제대로 말씀하세요.
57,최알바,알바가 쳐 돌았나부다.
58,,
59,최알바,에쎄 라이트라고 하신거 맞죠? 
60,나꼴초 ,알아 들었으면 주기나 할 것이지.
61,나꼴초 ,두번 말하게 만드네. 
62,,
63,,
64,나꼴초 ,내가 여 단골인데# 니 꼭 기억한다.
65,최알바 독백,ⓐ어후.. 첫 손님부터 너무 빡세다.ⓔ
66, ,♪ ♬ ♪ ♪
67,최알바 독백,ⓐ전화가 왔다.ⓔ
68,최알바 ,Tlqkf 김단짝…
69,김단짝,아직 나 말도 안했어.
70,김단짝,왜 이렇게 화났어 ㅋㅋㅋㅋ
71,최알바,몰라. 반말 찍찍하고# 발음 이상하고….
72,김단짝,누군진 알 것 같네.
73,김단짝,어떻게 됬어?
74,최알바,나도 기분 나빠서 받아쳤지.
75,김단짝 ,ⓑ너 3번 참으면 많이 참았다고 다 때려치우는 성격이잖아.ⓔ
76,김단짝 ,7일이야. 중간에 튀지 마라 제발 ㅠㅠ
77,최알바,벌써 튀고싶긴한데# 너봐서 참는다. 끊을게.
78,최알바 ,ⓐ첫날인데 벌써 힘드네…ⓔ
79,최알바 ,ⓐ다음 손님은 조금 괜찮았으면 좋겠다.ⓔ
80,,(딸랑 딸랑)
81,최알바 ,어서오세요
82,일반 2 ,엇! 못보던 얼굴이네?
83,일반 3,반가워요~~
84,최알바,넵! 이번주만 일하게 됐어요.
85,일반 2 ,아 그렇구나 ㅎㅎ 이거 계산해줘요~
86,일반 2 ,되게 어려보이는데..
87,일반 2 ,몇살이세요?
88,최알바,아 저 20대 중반입니다.
89,일반 2 ,아~~
90,일반 2 ,전 30대 후반이에요!
91,일반 2 ,저도 그 나이땐 알바 많이 했었는데 ㅎㅎ
92,최알바,ⓐ물어본 적 없는데;;ⓔ
93,최알바,ⓐ빨리 갔으면 좋겠다.ⓔ
94,,
95,,
96,최알바,상당히 동안이시네요.
97,최알바,30대 초반인 줄 알았어요.
98,일반 2 ,어머~ 그런 소리 꽤 들어요! 호호
99,최알바,ⓐ기분 좋아보이신다. 휴..ⓔ
100,최알바 ,ⓐ손님이랑 친해지면 피곤하지만# 일주일이니까.ⓔ
101,최알바,묻지 않았습니다만?
102,일반 2 ,….. 제가 조금 주책이죠? 하하..
103,최알바,ⓐ조금 무안해보인다.ⓔ
104,최알바,ⓐ내가 조금 심했나..?ⓔ
105,일반 2 ,흠흠.. 봉투에 담아주세요.
106,,
107,,
108,최알바,봉투 20원입니다.
109,일반 2 ,그거 얼마나 한다고 돈을 받아요~
110,일반 2 ,친해진 김에 하나 공짜로 줘요^^
111,최알바,봉투 값 받아야 하는건데# 특별히 그냥 드리는 겁니다~
112,일반 2 ,아..ㅎㅎ 감사합니다^^
113,일반 2 ,앞으로도 그래주실거죠?
114,,
115,,
116,최알바,아.. 오늘만입니다.
117,일반 2 ,…^^. 안녕히 계세요.
