Number,Name,Scrpit
0,,(딸랑딸랑)
1,최알바,어서오세요.
2,일반 7,… 어이..
3,,이 씹덕의 기운은 뭐지?
4,일반 7,(안경을 치켜 세우며) 아야세의ㅡ 「그것」은 어딨지?
5,선택지,
6,,
7,최알바,그것이 뭔데요?
8,최알바,제대로 말씀해주세요
9,일반 7,후훗..! 궁금한가ㅡ?
10,일반 7,소인이 친히 알려주도록 하지.
11,최알바,그.. 별로 궁금하진 않은데요.
12,최알바,상품을 알아야 위치를 알려주죠..
13,일반 7,칙쇼ㅡ 알기 싫은거냐!!
14,일반 7,"…흠, 잘 된 일일지도"
15,최알바,아야세가 뭔데요?
16,최알바,먹는건가요?
17,일반 7,우오옷-! 우루세ㅡ나ㅡ!
18,일반 7,함부로 입을 놀리다니ㅡ!
19,최알바,정말 몰라서 그런거에요;;
20,최알바,그게 뭔가요?
21,일반 7,….그녀의 정보를 발설할 수 있는건 오직ㅡ호쨩뿐ㅡ.
22,선택지,
23,,
24,최알바,그래서 찾는게 뭔가요? ;;
25,일반 7,그렇군. 본인이 찾던 건…
26,일반 7,그녀의 눈을 닮은 Choco paradise☆ㅡ였나
27,일반 7,아아ㅡ소년. 감사를 표한다.
28,일반 7,드디어 본인이 찾고 있던 「그것」ㅡ
29,일반 7,이곳에 와서야 깨닫다니.
30,최알바,그게 뭔데 씹덕아
31,일반 7,후훗 부정하지 말라고ㅡ!!
32,일반 7,우린… 「동류」다.
33,일반 7,Choco paradise☆였던가ㅡ
34,일반 7,소년도 곧 알게 될 테지.
35,일반 7,"알려줄 수 있는 것은 여기까지ㅡ 너무 조급해하지 말라고, 소년."
36,일반 7,
37,선택지,
38,,
39,최알바,이상한 말 좀 그만하세요.
40,최알바,알아듣기 힘드네요 ㅠㅠ
41,일반 7,무례를 범했군ㅡ 
42,최알바,"「동류」ㅡ, 들켰나.."
43,최알바,이런ㅡ 곤란하게 됐군
44,일반 7,"어이, 기억하도록ㅡ"
45,,긴장을 유지하는 것이 「최선」임을.
46,일반 7,이곳에 다시 발을 들이게 된다면ㅡ 기대하지.
47,일반 7,소레쟈ㅡ (찡긋)
48,최알바,??.... 안녕히 가세요
49,,일반 7(남)은 뒤돌아 나가버렸다.
50,,벙쪄서 아무것도 못했네..
51,,벌써 시간이… 이만 갈 준비 해야겠다
