Number,Name,Script
0,,(딸랑 딸랑)
1,최알바,"어, 안녕하세요."
2,일반 2,안녕하세요~ ^^
3,,일반 2(여)는 온장고에서 꿀물을 가져온다.
4,일반 2,계산 부탁드려요.
5,,(딸랑 딸랑)
6,진상 7,블랙민트 담배 하나 줘요.
7,일반 2,^^;; 저기.. 저 계산중이라서요.
8,진상 7,"아..ㅆ 바쁜데 뭐요, 말 걸지 마요."
9,,????? 너무 당당하게 끼어들어서 할말을 잃었다
10,,어떻게 해야하지? 먼저 온 손님부터 해야하는데..
11,,
12,,
13,최알바,손님 진짜 죄송합니다.  이분 담배만 빨리 결제하고 해드릴게요.
14,진상 7,뭘 허락을 받아요ㅋㅋ 그냥 하면 되지
15,,원래 온 손님부터 해야하는데..
16,,일단 쫄리니까 이분부터 하자 ㅠ
17,최알바,4500 원 결제 되셨습니다.  안녕히 가세요.
18,진상 7,수고~ㅋㅋ
19,,진상 7(남)은 밖으로 나갔지만#  일반 2(여)는 살짝 화난 것 같다.
20,일반 2,저기요.. 아무리 그래도ㅎㅎ^^  제가 먼저 왔는데.
21,일반 2,되게 기분 나쁘네요..
22,최알바,아.. 죄송합니다.
23,일반 2,아뇨.. 그냥 그렇다고요.ㅎㅎ  물건은 다음에 사러 올게요.
24,,아씨.. ㅠㅠ 괜히 죄송하네.
25,최알바,먼저 온 손님부터 결제해드릴게요.  조금만 기다려주세요.
26,진상 7,하…씨. 바쁘다니니깐요?
27,,무시하자. 무시..
28,최알바,결제 다 되셨어요.
29,일반 2,봉투는… 음. (눈치)  그냥 가져갈게요.
30,일반 2,안녕히 계세요ㅎㅎ;
31,최알바,네# 안녕히 가세요
32,최알바,다음 손님# 담배 계산해드릴게요.
33,,진상 7(남)은 살짝 화가 난 것 같다…
34,진상 7,겨우 담배 하나 사는데  이렇게 기다려야 해요? 하 ㅆㅂ
35,진상 7,사과해.
36,,
37,,
38,최알바,죄송합니다.  다음부터는 먼저 계산해 드릴게요..
39,진상 7,조심하자~ 응?
40,최알바,….. ……
41,진상 7,사과하라고. 귀 먹었냐?
42,최알바,…. …..
43,진상 7,또 그러면 진짜 뒤진다.
44,,그는 한참을 째려보다 밖으로 나갔다.
