Number,Name,Script,Face
0,,(딸랑 딸랑),
1,주인공 (최알바),어서오세요.,
2,최알바,"ⓐ킁, 아윽.. 익숙한 냄새다.ⓔ",
3,최알바,ⓐ아 또 왔네ⓔ,
4,최알바,ⓐ이 진상 왜이렇게 자주 보는 것 같지?ⓔ,
5,무주택 ,혹시 이거랑 이거.. 교환 안될까요?,3_1_2
6,,한 손에는 소주 2 병과 과자 한 개#  한 손에는 시계와 영양갱 2 개가 있다.,
7,최알바,ⓐ이젠 가지가지 하는구나.ⓔ  ,
8,최알바,ⓐ물물교환 하자는거야?ⓔ,
9,최알바,"ⓐ외상, 공병.. 이번엔 물물교환.ⓔ",
10,,,
11,,,
12,주인공 (최알바),ⓡ하... 바꿔드릴게요.ⓔ,
13,무주택 ,감사합니다.. 감사합니다..!,3_1_1
14,최알바,ⓐ말섞기 싫어서 그냥 내 돈 내고 해주는 건데 정상이 아니네..ⓔ,
15,주인공 (최알바),네.. 안녕히 가세요.,
16,,,
17,주인공 (최알바),이게 뭐하시는거에요? ,
18,주인공 (최알바),여긴 편의점이라구요.,
19,무주택 ,….. 왜 안되나요?  ,3_3_2
20,무주택 ,제가 돈이 없어서…,
21,최알바,ⓐ그럼 바꿔주겠냐..?ⓔ,
22,,,
23,,,
24,주인공 (최알바),ⓡ바꿔드릴게요.ⓔ  ,
25,주인공 (최알바),저니까 해드리는겁니다.,
26,주인공 (최알바),그리고 이번 한번만이에요.,
27,무주택 ,정말 고마워요..,3_1_1
28,,,
29,주인공 (최알바),말이 되는 요구를 하세요.,
30,주인공 (최알바),여긴 편의점이라고요! 편의점!,
31,무주택 ,미안해요.. 화내지 말아요.,3_2_2
32,무주택 ,나름대로 좋은 물건을 가져왔다고 생각했어요..,
33,최알바,ⓐ무주택은 어두운 표정으로 나갔다.ⓔ,
34,최알바,ⓐ괜히 신경쓰이네.ⓔ,
