Number,Name,Script,Face
0,,(딸랑 딸랑) (딸랑 딸랑),
1,주인공 (최알바),어서오세요# 어서오세요.,
2,일반 4,안녕하세요.,
3,진상 4,총!각! 잘 지냈어요?  ,4_1_1
4,진상 4,천천히 둘러볼게요.ㅋ,
5,주인공 (최알바),아… 네.,
6,,두 손님 모두 샌드위치 코너에서 무언가를 신중하게 보고있는 듯 하다.,
7,,그러더니# 진상 4(여)는 샌드위치 2 개를 양 손에 쥐고선 가만히 서있다.,
8,,…… …… 10 분은 지난 듯 하다.,
9,일반 4,저기.. 그 샌드위치 사고싶은데  ,
10,일반 4,혹시 안사실거면 저 주실 수 있나요?,
11,진상 4,아니요~? 살거니깐# 넘보지 말아요. 흥!,4_1_2
12,일반 4,기분 나쁘셨다면 죄송합니다. 하하…,
13,일반 4,사장님# 저는 이만 가보겠습니다.  ,
14,일반 4,마땅히 먹을 게 없네요.,
15,주인공 (최알바),네# 안녕히 가세요.,
16,,일반 4(남)는 머쓱하게 인사하며 밖으로 나갔다.,
17,,그리고# 여전히 진상 4(여)는 샌드위치를 들고 서있다.,
18,,…. 20 분째다.  ,
19,,드디어 계산대 쪽으로 오는구만!,
20,진상 4,샌드위치 계산하려고 하는데 ~ 호호,4_1_1
21,주인공 (최알바),넵 ! 계산해드릴게요.,
22,,[띠 - - -]  ,
23,,[POS] 판매 기한이 지난 상품입니다.,
24,,샌드위치 폐기 시간은 4 시이다.  … 그리고 지금은 4 시 1 분이다.,
25,주인공 (최알바),어.. 죄송합니다.  ,
26,주인공 (최알바),유통기한이 지나서 못팔 것 같아요.,
27,진상 4,어머머 ??! 어머머머머~~~!!?  ,4_2_1
28,진상 4,오호호호 운이 좋았나봐용~ ^^ㅋ,
29,진상 4,유통기한 지나서 이제 폐기되는 상품 맞죠?  ,
30,진상 4,원랜 사려고 했는데… 증말~~ 호호,
31,진상 4,"기왕 이렇게 된거, 그냥 가져갈게 총각~",
32,,아무래도 노린 것 같다. 따질까..,
33,,,
34,,,
35,주인공 (최알바),저기요. 아주머니..  ,
36,주인공 (최알바),거지근성이세요?,
37,진상 4,말하는 것 좀 보게~~??,4_2_2
38,진상 4,뭐 눈에는 뭐만 보인다더니.  ,
39,진상 4,총각# 그러는 거 아니야!~,
40,주인공 (최알바),아까부터 들고 계시던데요. ,
41,,폐기 시간까지 기다리신거에요?,
42,진상 4,아니~ 정말 사려고 했어~,4_1_1
43,진상 4,영양성분을 꼼꼼히 보는편이라 오래 걸렸을 뿐야~~,
44,,와 진짜 얌체같다.,
45,,솔직히 완전 속보이는 짓이었는데..,
46,,,
47,,,
48,주인공 (최알바),오해했네요. 샌드위치는.. 어쩔 수 없죠.  ,
49,주인공 (최알바),폐기 찍고 드릴게요.,
50,진상 4,"오호호 그래요, 그래요.  ",4_1_1
51,진상 4,얼른 줘요. 저 일부러 그런거 아니라구용~,
52,주인공 (최알바),네# 여깄습니다.,
53,진상 4,고마워요~^^  ,
54,진상 4,나 자주 들르는 거 알죠?,
55,진상 4,다음에 또 올게요. 잘 있어용~~♥,
56,주인공 (최알바),안녕히 가세요.,
57,주인공 (최알바),너무 속보이잖아요.  ,
58,주인공 (최알바),다른 분이 사지도 못하게 했었고.,
59,진상 4,먼저 잡는 사람이 임자인거지~  ,4_1_2
60,진상 4,난 운이 좋았을 뿐이라구~~ㅋ!,
61,주인공 (최알바),네# 운이 좋을 뻔 하셨네요.,
62,주인공 (최알바),저도 폐기로 배 채워야 해서#  샌드위치는 못드릴 것 같아요.,
63,진상 4,ⓡ아니# 손님이 먼저지 허# 참나  상도덕이 너무 없네 총각~~ⓔ,
64,진상 4,나 영양성분에 민감한 사람이야ㅋ  ,
65,진상 4,꼭 이 샌드위치를 먹어야 돼~~^^,
66,주인공 (최알바),정 이거 드시고 싶으시다면#  제 저녁밥 사주시고 가세요.,
67,주인공 (최알바),저도 밥은 먹어야죠.  ,
68,주인공 (최알바),제 저녁밥 가져가시려 하는데..,
69,진상 4,"어!?... 어.. # 그, 그게..",
70,진상 4,그.. 그래# 내가 집에 지갑을 두고 왔어..~,
71,주인공 (최알바),샌드위치 사려고 하셨지 않아요?  ,
72,주인공 (최알바),근데 지갑을 두고 오다니요.,
73,진상 4,내가 그# 급한일이 있던걸 깜빡해서 ..  ,
74,진상 4,처리하고 다시 올게요. 수고해요~~~,
75,,그녀는 쪽팔렸는지 빛의 속도로 나가버렸다.,
76,,아휴.. 이구역 폐기루팡이 따로없네.  ,
77,,하다하다 존버까지 타냐,
78,,지겹다 지겨워,
