Number,Name,Script
0,,(딸랑 딸랑)
,최알바,어서오세요.
,진상2,"어, 그래."
,,진상 2(남)은 얼음컵과 음료팩을 가지고 왔다
,진상2,"야, 결제."
,최알바,"1,800 원입니다."
,,(딸랑 딸랑)
,,어서오세요.
,진상9,…. ……….# 예… 예끼 이눔아!
,,"손, 손님이 왔으면 크, 큰 소리로 인사해야지!"
,,진상 9(남)은 빵을 쥔 채 머뭇거린다.
,진상9,"오, 오늘은 크림빵이 새,생각나서…# 계, 계산.."
,진상2,"이보슈, 아직 저 결제중입니다?"
,진상9,"저, 젊은 양반이 양보좀 해주지~.."
,최알바,결제 다 됐습니다.
,진상2,…. ……….
,,진상 2(남)는 안비켜주고 계산대에서# 느긋하게 음료팩을 얼음컵에 붓는다.
,,아 이게 뭐하는 짓이야;# 뒤에 사람있는거 안보이나?
,,
,최알바,비켜주시겠어요?# 다음 손님이 기다리고 계세요.
,진상2,얼마나 걸린다고 X랄이여~ 
,,"1,800원짜리 손님은 손님도 아니라 이거냐?"
,진상9,"무, 무릎이 안좋아서…. ….# 오, 오래 못 서있는다네… 비, 비켜주게."
,진상2,댁은 기다림의 미학도 모르슈?
,,서지도 못하는 노친네가 왜 나와서# 민폐를 끼치고 댕기나.
,최알바,"다음 손님, 물건 주세요.# 계산해드릴게요."
,진상2,가뜩이나 좁은데 뭐하는 시추에이션?
,,"거의 다 했으니깐, 기다리슈."
,진상9,"차, 찬물도 위아래가 있거늘,# 에잉..! 쯧쯧"
,진상2,에휴.. 성질 급한 노인네# 늙으면 죽어야지..~~
,,진상 2(남)는 다 쓴 음료팩과 비닐을 계산대에 버리듯 두고 나갔다.
,,쓰레기통에 버리지. 하여간..
,진상2,"…. 느, 늙으면.. 주,죽어야지…"
,,진상 2(남)는 혼자 중얼거리더니 그냥 가버렸다.
