Number,Name,Script,Face,Face2
0,,(딸랑 딸랑),,
1,주인공,어서오세요.,8_1_1,3_1_2
2,진상 8,기프티콘 결제 되죠?,,
3,,ⓐ아 이손님.. ㅠㅠㅋㅋⓔ,0,
4,,ⓐ바디랭귀지도 같이 해줘야겠다.ⓔ,,
5,주인공,(끄덕 끄덕) 네 됩니다.,,
6,,ⓐ진상 8은 빼빼로 10개를 가지고 온다.ⓔ,,
7,진상 8,이 빼빼로 다 기프티콘 결제할게요.,8_2_1,
8,,ⓐ이 손님.. 저번에 적립했었지ⓔ,8_2_3,
9,주인공,적립하시나요?,,
10,진상 8,….. …… .,,
11,주인공,.. 적립 하시나요??,,
12,진상 8,….. …. .,,
13,,,,
14,,,,
15,주인공,적립 하세요?,,
16,진상 8,………. . ….,8_2_2,
17,진상 8,뭐하세요? 계산 해주지 않고.,,
18,주인공,..계산부터 해드릴게요.,,
19,,ⓐ물건 하나 바코드를 찍자마자ⓔ,  그녀는 바로 기프티콘을 보여준다.,8_2_1
20,주인공,"물건 한꺼번에 찍고, 기프티콘도 한꺼번에 찍어도 됩니다.",,
21,,….. …… .,,
22,진상 8,빨리 찍으세요. ,8_2_2_a,
23,진상 8,기프티콘으로 한다니깐요?,,
24,주인공,물건이랑 기프티콘 한꺼번에 찍..,,
25,진상 8,….. 팔 떨어지겠어요;,,
26,,"ⓐ결국 상품 1개, 기프티콘 1개 스캔하는 방식으로 바코드를 총20번이나 찍었다..ⓔ", ,
27,진상 8,봉투는 됐어요.,,
28,진상 8,적립할게요.,,
29,,ⓐ하나 하나 계산해서 적립하려면  엄청 복잡해지는데… ⓔ,,
30,,ⓐㅠㅠ 어쩌지.ⓔ,,
31,,,,
32,,,,
33,주인공,아까 물어봤잖아요.,,
34,주인공,하나씩 계산해서 적립도 힘들어요. ,,
35,주인공,다시 계산해야 한다구요.,,
36,주인공,사람이 말을 하면 에아팟 한쪽이라도 빼세요.,,
37,진상 8,못 들은 것 같으면 다시 말해야죠..;,,
38,진상 8,여러 번 물어봤으면 저도 들었겠죠.,,
39,주인공,네 해드릴게요.,,
40,주인공,근데 절차가 조금 까다로워서요.,,
41,주인공,에아팟 잠깐 빼주시겠어요?,,
42,진상 8,아... 됐어요.,,
43,진상 8,처음부터 적립할 거냐고 물어봐주시지.,,
44,,,,
45,,,,
46,주인공,….. 죄송합니다.,,
47,주인공,다음부턴 주의하겠습니다.,,
48,진상 8,ⓡ네. 주의하세요.ⓔ,,
49,진상 8,ⓡ진짜 기분 나쁘네요.ⓔ,,
50,,그녀는 툴툴거리면서 밖으로 나갔다.,,
51,,,,
52,주인공,물어봤어요.,,
53,주인공,그것도 여러 번이요.,,
54,주인공,반 자발적으로 제 말 안듣는 사람한테 여러 번 말해야겠어요?,,
55,진상 8,아.. 죄송합니다.,,
56,,그녀는 무안한 듯 고개를 숙이더니 밖으로 나갔다.,,
