Number,Name,Script,Face
0,,(딸랑 딸랑),
1,최알바,어서오세요.,
2,최알바,ⓐ아 X 발… 또ⓔ,
3,박미자 ,총각~ 나왔어!! ^^  ,4_1_1
4,박미자 ,너무 자주와서 정들겠어~~,4_1_1
5,최알바,그러게요…,
6,,박미자는 계산대 위에 껌 하나를 올려놓는다.,
7,최알바,1#000 원입니다.,
8,박미자 ,껌 하나가 무슨 1#000 원 씩이나 해~~?  ,
9,박미자 ,편의점 너~무 비싸당 ㅋ,
10,박미자 ,동전도 되죠??  집에 넘 많아서~,
11,,그녀는 계산대에 50 원짜리와 10 원짜리 동전을 쏟아 부었다.,
12,최알바,.. 결제 됐습니다.,
13,박미자 ,참# 나 화장실 좀 쓰고 싶은데~~,
14,박미자 ,화장실 키 좀 줘용~^^,
15,최알바,ⓐ뭔가 쎄하다.ⓔ,
16,최알바,ⓐ키를 줘도 되는걸까?ⓔ,
17,,,
18,,,
19,최알바,지금 화장실 공사중이여서..  ,
20,최알바,사용이 어렵습니다.,
21,박미자 ,아니~ㅋ 집에 물이 안나와서 그래!  ,4_1_2
22,박미자 ,변기 쓸 거 아니니까 키 줘용^^,
23,최알바,여기있습니다.,
24,최알바,쓰고 나서 꼭 돌려주셔야 해요.,
25,,몇십분 후# 그녀가 다시 돌아왔다.,
26,박미자 ,잘 썼어요~~ 호호,4_1_1
27,최알바,네# 안녕히 가세요.,
28,박미자 ,아니~~ 아직 안가요ㅋ^^,
29,박미자 ,아까 샀던 껌 좀 환불하려구~~~  ,
30,박미자 ,환불 좀 해줘요,
31,최알바,ⓐ하… 키만 빌리기 눈치보여서 산거였나?ⓔ,
32,,,
33,,,
34,최알바,여기 있습니다.  ,
35,최알바,아까 계산해주셨던 동전 그대로 입니다.,
36,박미자 ,아니~~~ㅋ  잔돈으로 주면 어떡하나~^^,4_1_2
37,박미자 ,지폐로 줘야지~..,
38,최알바,지폐가 얼마 없어서 안될 것 같아요.,
39,최알바,현금 계산 하시는 분들이 있어서  잔돈은 남겨놔야 합니다.,
40,박미자 ,지폐 천원 짜리가 없나~?  그러지 말고 한장 줘~~~,
41,최알바,아니 이러실거면 껌 왜 사신거에요..?,
42,박미자 ,화장실도 쓸 겸# 동전도 바꿀 겸 했지~ㅋ,
43,,,
44,,,
45,최알바,…… 여깄습니다.,
46,박미자 ,진작 주지~~..  ,4_2_1
47,박미자 ,수고해요~ㅋ,
48,최알바,네. 안녕히 가세요.,
49,,드디어 갔다.,
50,최알바,없다니깐요.  ,
51,최알바,동전은 돈도 아니랍니까?,
52,박미자 ,내가 그 동전 그대로 받자고#  무더기 동전 가져온 줄 알어~?,4_2_2
53,최알바,마음대로 하세요.,
54,최알바,환불도 안해드릴거에요.,
55,최알바,아무도 사라고 강요 안했습니다.,
56,최알바,그리고# 잔돈 교환은 제발 은행가서 하세요.,
57,박미자 ,허# 됐어요~~ 됐어~~  ,
58,박미자 ,환불도 함부로 못받겠네~~,
59,박미자 ,ⓡ조만간 맘카페에 올릴거니까 쪽 좀 팔아봐요~~ⓔ,
60,박미자 ,그 천원이 아까워서ㅋ 참나,
61,,박미자 는 씩씩거리며 밖으로 나갔다.,
62,최알바,ⓐ천원인데 너무 심했나?ⓔ  ,
63,최알바 ,ⓐ아니야. 내가 잘못한 건 없어.ⓔ,
64,,,
65,,,
66,최알바,여기 있습니다.,
67,박미자 ,이래서 은행이 필요없다니깐~~호호,
68,최알바,편의점도 잔돈이며 지폐며 다 은행 이용해요~,
69,박미자 ,난 은행 멀어서 못가~  ,
70,박미자 ,여기 없어지면 난 잔돈 바꿀 곳 없어,
71,박미자 ,그럼.. 가볼게용~~  ,
72,박미자 ,총각도 수고해ㅋ,
73,최알바,안녕히 가세요.,
74,최알바,ⓐ이젠 이 생활도 곧 끝이니 제발 마주치지 맙시다.ⓔ,
75,최알바,ⓐ기운내자. 이 짓도 얼마 안남았다.ⓔ,
