Number,Name,Script
0,,(딸랑 딸랑)
1,최알바,어서오세요.
2,오영수 ,어. 야! 얼음 커피 하나 가져간다?
3,최알바,계산 하고 가져가세요.
4,최알바,외상은 안돼요.
5,오영수 ,점장 있을 때 이미 계산 했는디
6,최알바,그런 말씀 못들었어요.
7,최알바,영수증 있으세요?
8,오영수 ,그런거 안가지고 댕겨.
9,오영수 ,나 점장이랑 친구 사이야
10,오영수 ,알면서 왜 그러냐?
11,최알바,ⓐ뭐지… 진짠가?ⓔ
12,최알바,잠시만요!
13,오영수 ,?? 나 빨리 가야허는디
14,,
15,,
16,최알바,잠시만 기다려주세요.
17,최알바,점장님이랑 전화해보구요.
18,진상 5,아 거 진짜…
19,오영수 ,바쁜 사람 잡고 뭣허냐?
20,최알바,ⓐ점장님이 전화를 안받으신다.. 어쩌지?ⓔ
21,,
22,,
23,최알바,…진짜 계산 끝낸거죠?
24,진상 5,속고만 살았냐?
25,오영수 ,눈치껏 혀라# 눈치껏.
26,최알바,옙.. 안녕히 가세요
27,,
28,최알바,점장님이 연락을 안받으셔서요.
29,최알바,계산하고 가주세요.
30,오영수 ,ⓡㅆㅂ 바쁘다고 했잖여!ⓔ
31,오영수 ,눈치 밥말아먹어선 사람 귀찮게 하네
32,오영수 ,캬악- 퉤! 걍 갈란다.
33,최알바,…. ...........
34,최알바,ⓐ그냥 가버렸다.ⓔ
35,최알바,ⓐ그냥 줄 걸 그랬나..ⓔ
36,,
37,,
38,최알바,아.. 넵. 알겠습니다.
39,최알바,얼른 일보러 가세요.
40,오영수 ,엉# 수고.
41,오영수 ,참! 봉다리 좀 줘라.
42,오영수 ,봉투도 미리 계산했었어.
43,,
44,,
45,최알바,봉투는 계산 안하셨을 것 같은데…
46,최알바,봉투 값 주세요.
47,진상 5,계산했다니까?
48,진상 5,ⓡ바쁜 사람 붙들고 뭐하는거여 ㅆㅂⓔ
49,진상 5,카악- 퉤! 걍 갈란다.
50,최알바 ,….. …....
51,최알바,ⓐ그냥 가버렸다.ⓔ
52,최알바,ⓐ그냥 줄 걸 그랬나..ⓔ
53,,
54,최알바,믿고 드리는 겁니다?
55,진상 5,그거 얼마나 한다고 떼먹겠냐?
56,진상 5,점장 오면 물어보든가.
57,오영수 ,잘 있어라~
58,최알바,옙.. 안녕히 가세요 
