Number,Name,Script
0,,(딸랑 딸랑)
1,최알바 ,어서오세요.
2,김건우 ,그… …….흠흠
3,김건우 ,혹시 전에 일하던 분은 그만뒀나요?
4,,
5,,
6,최알바 ,아# 단짝이랑 아는 사이세요?
7,김건우 ,!! 네 맞아요.
8,김건우 ,며칠 전부터 안보이네요
9,김건우 ,연락도 잘 안받고# 편의점도 올 때마다 없고..
10,김건우 ,혹시 소식 아시나요? 
11,최알바 ,그건 왜 물어보시는거에요?
12,김건우 ,아# 그 분이랑 저랑 친구예요.
13,김건우 ,요즘 연락도 잘 안되길래 걱정스러워요.
14,김건우 ,기억 하실진 모르겠지만#  저 며칠 전에도 여기 왔었거든요. 
15,김건우 ,그 때도 단짝이 보러 온건데…
16,김건우 ,없었어요.
17,최알바 ,많이 시무룩해 보인다..
18,,
19,,
20,최알바 ,다음주에 오시면 만날 수 있을거에요.
21,최알바 ,저 이번주까지만 일하거든요.
22,김건우 ,그렇군요..
23,김건우 ,감사합니다.
24,김건우 ,소중한 친구라 걱정 많이했는데..
25,김건우 ,덕분에 안심이 되네요.
26,김건우 ,다음주 쯤엔 그 친구를 만날 수 있겠죠?
27,최알바 ,ⓐ그는 미소를 짓곤 밖으로 향했다.ⓔ
28,최알바 ,ⓐ연락 안받는 이유가 있을텐데..ⓔ
29,최알바 ,ⓐ괜히 알려줬나;;ⓔ
30,최알바 ,저랑도 아는 사이긴 한데..
31,최알바 ,저도 연락 잘 안됩니다.
32,김건우 ,아.. 그렇군요.
33,김건우 ,무슨 일 있는 건 아니겠죠..?
34,김건우 ,아차차..  말이 길어졌네요.
35,김건우 ,죄송합니다.
36,김건우 ,안녕히 계세요.
37,최알바 ,ⓐ단짝이가 연락 안받는 이유가 있겠지# 뭐ⓔ
38,최알바 ,안녕히 가세요.
39,,(딸랑 딸랑)
40,최알바 ,어서오세요.
41,서지혜,말보루 골드 2 개랑 아이스불트 GT 4 개 주세요.
42,최알바 ,"27,000 원 입니다."
43,서지혜,….. ……  ……… ………..
44,서지혜,지갑을 안가져왔네요.
45,서지혜,계좌이체 되나요?
46,최알바 ,ⓐ내가 대신 결제해주고  내 계좌로 돈을 받을까?ⓔ
47,최알바 ,ⓐ아차차..  내 카드에 돈 없었지.ⓔ
48,최알바 ,ⓐ엄카는 있는데…..ⓔ
49,최알바 ,ⓐ급한대로 이거라도 쓸까..?ⓔ
50,,
51,,
52,최알바 ,계좌이체 해드릴게요!
53,최알바 ,잠시만요….  결제 먼저 할게요.
54,,엄마 카드를 긁었다.
55,,[띠 - - -]
56,,[POS] 한도 초과된 카드입니다.
57,서지혜,…… ……  ………. …… .
58,최알바 ,…………….  ………….. .
59,서지혜,…… 뭐가 잘 안되나봐요?
60,최알바 ,그게# 저…….
61,최알바 ,……. 죄송합니다.
62,서지혜,해준다고 하지나 말던가…
63,서지혜,저 한가한 사람 아니에요.
64,서지혜,…. 다음에 올게요.
65,최알바 ,네.. 안녕히 가세요.
66,,잘못한 것도 없는데 괜히 억울하네;; ㅠㅠ
67,최알바 ,죄송해요.  계좌이체는 안됩니다.
68,서지혜,…후….. 네.
69,서지혜,다음에 사러 올게요.
70,최알바 ,네 안녕히 가세요.
71,,(딸랑 딸랑)
72,최알바 ,어서오세요.
73,김지훈 ,… # 딸꾹# …….
74,김지훈 ,야# 저기. 뭐야.
75,김지훈 ,내가…# 딸꾹. 
76,김지훈 ,뭐 살려고 들어왔그든?
77,김지훈 ,근데….. 뭔지 기억이 안난다#? 딸꾹.
78,김지훈 ,뭘#..딸꾹… 까?
79,김지훈 ,내가 살려고 했던거# 딸꾹.
80,,
81,,
82,최알바 ,잘 모르겠어요. ㅎㅎ;
83,최알바 ,천천히 둘러보세요.
84,김지훈 ,천천히? ㅋ… 딸꾹#
85,김지훈 ,내 몸 가누기도 힘들어~~…# 딸꾹!
86,최알바 ,음 숙취해소제나 담배 아닐까요?
87,김지훈 ,딸꾹# 나도 잘.. 끅# 몰라~
88,김지훈 ,오늘…# 딸꾹. 
89,김지훈 ,좀 마셨다~~! 딸꾹..#
90,,
91,,
92,최알바 ,무슨 일 있으셨어요?
93,김지훈 ,싸~가쥐 없는 쉐키.. 딸꾹#..
94,김지훈 ,교육 좀 하려 했드니만..# 딸꾹.
95,김지훈 ,눈치# 는 있어가지고… 딸꾹..#
96,김지훈 ,착한 척# 딸꾹.# 하는 거 봐라?..
97,최알바 ,많이 취하셨어요.
98,최알바 ,집 들어가세요..
99,김지훈 ,야! 이… 이… 하~# 딸꾹#
100,김지훈 ,너는. 말하는. 딸꾹..# 싸가지가.
101,김지훈 ,확~!...# 그냥.. 끅.
102,김지훈 ,니 쌈 잘허냐?? 응??
103,김지훈 ,딸꾹..# 함 떠?! 쒸이..
104,김지훈 ,내가.. 왕년에..# 딸꾹.#
105,김지훈 ,싸움 좀 했그등
106,,
107,,
108,최알바 ,잘못한 게 있다면 죄송합니다.
109,최알바 ,그만해주세요…
110,김지훈 ,쫄았냐?!#.. 딸꾹.
111,김지훈 ,함 떠!? 뜨까?~.. 딸꾹..# 떠?
112,김지훈 ,완# 투 쨉!..# 딸꾹# 쩁! 호이!
113,김지훈 ,쉬익! 쉬익! 쩹! 딸꾹..#
114,김지훈 ,어때# 무섭쮜~.#?# 딸꾹.
115,김지훈 ,(쿠당탕)
116,,김지훈 (남)는 혼자 신나서  허공에 주먹질 하다가 자빠졌다.
117,김지훈 ,하이씨…# 딸꾹.#
118,김지훈 ,원래같으면 안넘어지는건데~!.. 딸꾹.
119,김지훈 ,바닥이 미끄러워서 그래!! 딸꾹##.
120,김지훈 ,쫌 다친거같은데# 딸꾹.
121,김지훈 ,점장한테.. 딸꾹.
122,김지훈 ,치료비 요구할거야..~!
123,최알바 ,ⓐ진상은 비틀거리며 문으로 향했다.ⓔ
124,최알바 ,ⓡ지 혼자 넘어지고 치료비는 무슨…ⓔ
125,최알바 ,ⓐ아 존 X 현타온다.ⓔ
126,최알바 ,무서워요…! ㅠㅠ 그만하세요
127,최알바 ,제가 잘못했어요.
128,김지훈 ,아직 시작도 안했어~.. 딸꾹.
129,김지훈 ,그렇게 나약해서 어떡할래? 딸꾹.
130,김지훈 ,아저씨가. 쌈 알려줘?.. 딸꾹# 딸꾹.
131,김지훈 ,완# 투 쨉!..# 딸꾹# 쩁! 호이!
132,김지훈 ,쉬익! 쉬익! 쩹! 딸꾹..#
133,김지훈 ,짜식아~!.. # 딸꾹.# 기분이다.
134,김지훈 ,집가서 술 한 잔 더 해야지.
135,김지훈 ,아디오스!!..ㅋㅋ 딸꾹#..
136,,김지훈 (남)는 비틀거리며 문으로 향했다.
137,최알바 ,예.. 안녕히 가세요
138,,(딸랑딸랑)
139,최알바 ,어서오세요.
140,최민서,……. (꾸벅)
141,,최민서(여)은 수입맥주 4 캔을 가져온다.
142,최민서,맥주 4 캔 만원 맞죠?
143,최민서,계산해주세요.  카드로 할게요.
144,최알바 ,"아뇨, 국산 맥주가 할인 상품이에요."
145,최알바 ,"12,000 원 결제 해드릴게요."
146,최알바 ,영수증 필요하세요?
147,최민서,…… ………  ………… .
148,최민서,아 참. 영수증 주세요.
149,최민서,(영수증을 확인한다.)
150,최민서,"?? 왜 12,000 원이에요?"
151,,
152,,
153,최알바 ,계산할 때 설명 드렸는데요.
154,최민서,(에아팟을 뺀다.)
155,최민서,오류인 것 같은데# 다시 결제해봐요.
156,최민서,냉장고 앞엔 4 캔에 만원이라고 써져 있었어요.
157,최알바 ,국산 맥주만 할인 들어가는거에요.
158,최알바 ,국산 맥주 4캔 만원이고# 수입맥주는 해당 안됩니다.
159,최민서,(에아팟을 뺀다.)
160,최민서,오류인 것 같은데# 다시 결제해봐요.
161,최민서,냉장고 앞엔 4 캔에 만원이라고 써져 있었어요.
162,최알바 ,수입 맥주는 해당이 안됩니다.
163,최알바 ,국산 맥주로 다시 가져오세요.
164,최민서,아니… 하 그럴거면 저렇게 써놓지 말아야죠.
165,최민서,가격 표기가 실 가격이랑 다르잖아요.
166,,
167,,
168,최알바 ,제가 한 게 아니라#  점장님께서 써두신 거예요..
169,최민서,… 그래요?
170,최민서,점장님 언제 오시는데요?
171,최민서,제가 직접 말씀드려야겠어요.
172,최민서,직원 잘못이 아니잖아요.
173,,
174,,
175,최알바 ,음.. 점장님은 12 시쯤 출근하실겁니다.
176,최알바 ,아마도.. 맞을거에요.
177,최민서,점장님 상주 시간대도 제대로 모르시는 것 같은데.
178,최민서,일부러 뒤집어 씌우려는 건 …….. .
179,최민서,……………. .
180,최민서,점장님이 하신 건 맞아요?
181,최민서,ⓡ하… 그쪽은 제대로 하는것도# 아는 것도 없네요.ⓔ
182,최민서,어쨌든 점장님 잘못이라니까 본사 통해서 조치할게요.  
183,최민서,… 수고해요.
184,최알바 ,….안녕히 가세요.
185,최알바 ,ⓐ점장님께 피해가면 어떡하지..ⓔ
186,최알바 ,ⓐ머리 아프다.ⓔ
187,최알바 ,신경써주셔서 감사합니다.
188,최알바 ,그치만# 제 잘못도 있습니다.
189,최알바 ,제가 직접 점장님께 말씀드려서 바로 수정하겠습니다.
190,최민서,…네. 오늘 무례했던 건 죄송해요.
191,최민서,조금.. 황당해서 그랬던 것 같아요.
192,최민서,그럼# 수고하세요.
193,최알바 ,네# 안녕히 가세요!
194,,
195,최알바 ,제가 한 게 아니라#  다른 알바분이 써두신 거예요..
196,최민서,… 본인이 한 게 아니라서 안고쳤다는 거네요?
197,최민서,(못마땅하게 째려본다.)
198,최민서,그쪽도 알바생 아닌가요?
199,최민서,잘못된 게 있으면 고칠 생각을 해야죠.
200,최민서,ⓡ남한테 책임 전가하는 꼴이라니…. .ⓔ
201,최민서,‘맥주 4 캔 만원’ 앞에  ‘국산’ 한마디 붙이는 게  어려운 가요?
202,,
203,,
204,최알바 ,틀린 말은 아니라서요..
205,최알바 ,본사 맥주 포스터도 국산 표기가 안들어갑니다.. ㅠ
206,최민서,마케팅 때문인 것 같은데.. 흠.
207,최민서,어쩔 수 없네요..
208,최민서,그쪽 잘못이 아닌 건 알겠어요.
209,최민서,무례했다면 죄송합니다.
210,최민서,안녕히 계세요.
211,최알바 ,아닙니다.
212,최알바 ,안녕히 가세요!
213,최알바 ,저도 잘 몰랐어요.
214,최알바 ,일한지 얼마 안돼서..
215,최알바 ,오늘 바로 수정하겠습니다.
216,최민서,이봐요# 수정은 당연히  해야 하는 거예요.
217,최민서,일한 지 얼마 안된 건  그쪽 사정이구요.
218,최민서,상당히 불쾌하네요.
219,최민서,직원 교육 부재로 클레임 걸게요.
220,최민서,ⓡ이참에 교육 좀 받고 제대로 일하세요.ⓔ
221,최민서,가볼게요.
222,최알바 ,…. 안녕히 가세요
