Number,Name,Script,Face
0,최알바,점장님! 저 왔어요.,
1,점장님,어 그래# 잘 왔다.,1111
2,점장님,볼 일이 있어서 먼저 가봐야 할 것 같은데.. ,3333
3,점장님,물류 정리 좀 대신해줘.,
4,점장님,참# 담배는 진열대에 있는거 다 팔면 새 거 뜯어라,
5,점장님,진열 칸 모자라서 엉뚱한 곳에 놓지 말고,
6,최알바,네. 걱정 마시고 일 보러 가세요.,
7,점장님,응. 수고해^^,1111
8,최알바,넵! 들어가세요~,
9,,(딸랑 딸랑),
10,최알바,어서오세요.,1_2_1
11,나꼴초,담배,1_2_1
12,,,
13,,,
14,최알바,담배 어떤거로 드릴까요?,
15,나꼴초,내가 피우는 담배도 몰러?,1_2_2
16,나꼴초,너 여기서 처음 일해?,
17,,,
18,,,
19,최알바,살다보면 그럴 수도 있는거죠.,
20,최알바,그래서 어떤거 피우시는데요?,
21,나꼴초,앳쌔# 엣쌔.  앳쎄 라이 th,
22,나꼴초,"ⓡ몇번을 왔는디 모르노,  얼빠진 얼라 X 아.ⓔ",1_1_2
23,최알바,다음부턴 기억하겠습니다^^!,
24,나꼴초,아따# 넉살 좋아졌구로,1_2_3
25,나꼴초,외아라 좀. 외워!,1_2_2
26,나꼴초,엣쌔 라이 th 하나.,
27,나꼴초,ⓡ몇번을 왔는디 모르노#  얼빠진 얼라X아ⓔ,1_2_2
28,,,
29,,,
30,나꼴초,동작 그만!,1_2_1
31,나꼴초,ⓡ몇번을 왔는디 모르노#  얼빠진 얼라X아ⓔ,1_2_2
32,나꼴초,앳쎄 라이th로 줘야제.,
33,나꼴초,퍼뜩 가져온나,
34,최알바,여깄습니다.,
35,나꼴초,야# 딴거 줘.,
36,나꼴초,그림 좋은걸루,
37,,에쎄 라이트 낱개 재고 중에 좋은 그림이 없다.,
38,,다 징그러운 그림들.. 어쩌지?,
39,,,
40,,,
41,,새 보루를 뜯어 발*부전 그림이 붙은 담배를 건넸다.,1_1_1
42,나꼴초,……. …… . ….. …저주여?,1_1_2
43,나꼴초,임산부나 애기 그림으로 줘.,
44,최알바,(뒤적 뒤적) 아.. 여깄습니다.,
45,나꼴초,앞으로 그림 좋은 거 남겨둬라.,1_2_2
46,최알바,…. 안녕히 가세요.,
47,,ⓡ담배 진열 칸이 부족하다.ⓔ,
48,,괜히 뜯었나봐,
49,,,
50,최알바,남은 재고 중에 그림 괜찮은 게 없어요.,1_1_1
51,나꼴초,그럼 새 거 뜯어.,1_1_3
52,,,
53,,,
54,최알바,안됩니다.,
55,나꼴초,뜯으라고~,1_2_2
56,나꼴초,새거 있잖여.  누굴 바보로 아나,
57,최알바,정말 안됩니다.,
58,최알바,새 거 뜯으면 재고 넣을 공간이 부족해져서요..,
59,최알바,죄송합니다.,
60,나꼴초,쯧..  사정사정해서 넘어가는거여.,1_2_3
61,나꼴초,앞으로는 그림 좋은거 남겨놔라,1_2_2
62,최알바,예.. 안녕히 가세요,
