Number,Name,Script,Face
0,,(딸랑 딸랑),
1,최알바,어서오세요.,
2,이하늘,안녕하세요,6_1_1
3,이하늘,레증 프렌치요구 주세용,
4,최알바,ⓐ쓰읍… 많이 쳐줘야 고딩같은데…ⓔ,
5,최알바,ⓐ근데 뭔가 낯이 익기도 하고?ⓔ,
6,,,
7,,,
8,최알바,신분증 보여주세요.,
9,이하늘,아 안가져왔는데,6_1_2
10,최알바,ⓐ그녀는 안가져왔다며 그냥 그자리에 서있었다.ⓔ,
11,최알바,ⓐ뭐 어쩌라는건지.ⓔ,
12,최알바,신분증이 없으면 담배 못 팝니다.,
13,이하늘,저 여기 담배 저번에 사갔었어요.,6_2_2
14,,,
15,,,
16,최알바,전 기억에 없는데요.,
17,최알바,다른 알바생인 것 같네요.,
18,최알바,저는 모르는 일이니#  검사하셔야 돼요.,
19,이하늘,진짜 안돼요?,6_1_2
20,최알바,ⓐ내가 매우 단호했던걸까ⓔ,
21,최알바,ⓐ그녀는 포기하고 편의점에서 나갔다.ⓔ,
22,최알바,아 그래요? 그럼 인정입니다ㅋㅋ,
23,이하늘,오~. 4500 원 놓고 갈게요.,
24,최알바,"ⓡ네. 4,500 원입니다ⓔ",
25,최알바,ⓐ손님은 살짝 놀란 눈치였지만#  담배를 챙기고 떠났다.ⓔ,
