Number,Name,Scrpit
0,,(딸랑 딸랑)
1,진상 5,단! 결! ㅋ
2,최알바,아.. 안녕하세요
3,진상 5,쌔끼.. 오늘 매가리가 없네.
4,진상 5,디쓰쁘라스 한보루 줘
5,,아씨 서비스 줘야 하나;;
6,선택지,
7,,
8,최알바,네. 이건 서비스예요
9,진상 5,이딴 것도 서비스라고 생색 내는겨?
10,진상 5,야. 난 싸구려 안써~
11,진상 5,터보 라이터 줘봐.
12,최알바,점장님이 일반 라이터만 드리랬어요.
13,진상 5,나 점장이랑 친구여~ㅋㅋ
14,진상 5,나한테 줬다 하면 별말 안할겨
15,최알바,"41,000 원 입니다."
16,진상 5,한보루나 사는데 아무것도 없어?
17,진상 5,저번에 점장은 써 – 비쓰 주던데.
18,진상 5,친구라 그런가~?ㅋㅋ
19,최알바,아.. 일반 라이터 하나 챙겨드릴게요.
20,진상 5,"야. 한 갑도 아니고, 한 보루라고~"
21,진상 5,센스 밥말아 먹었어?
22,진상 5,터보 가져간다?
23,선택지,
24,,
25,최알바,아무리 그래도 안됩니다..
26,진상 5,"야, 너 며칠전에 나 봤잖아"
27,진상 5,내가 단골인거 알지 않냐?
28,진상 5,내가 팔아주는거 생각하면 아주 작은 투자여~!
29,진상 5,함만 주지?
30,진상 5,이 조그만 거 하나 주기 어렵냐?
31,최알바,가져가세요.
32,최알바,"절도로 신고하면 돼죠, 뭐.."
33,진상 5,야 조금 섭섭하다?
34,진상 5,너 이 X 끼 싸가지 없는 건 알았는데.
35,진상 5,경찰? 짤리고 싶지?
36,진상 5,소비자 권리는 생각 안하남
37,선택지,
38,,
39,최알바,그냥 라이터고 뭐고 안드릴래요.
40,최알바,저한테 너무하신거 아니에요?
41,최알바,"그 잘난 친분, 점장님한테 얘기하세요."
42,최알바,저한테 이러지 말고요.
43,진상 5,이건 소비자 기만이야! 알어?! 
44,진상 5,너 말고 다른 알바들은 다 줬어
45,진상 5,경쟁력이 중요한 거 몰라?
46,진상 5,이딴 식으로 나오면 앞으로 여기서 안 산다~
47,,어쩌라고.. 내 가게도 아닌데;;
48,선택지,
49,,
50,최알바,그래서 안사겠다구요?
51,최알바,담배 집어 넣습니다?
52,진상 5,"안산다, 안사."
53,진상 5,잘 먹고 잘 살아라 퉤!
54,,진상 5(남)는 바닥에 가래침을 뱉고서 슬리퍼를 질질 끌며 밖으로 나갔다.
55,,닦기도 싫다.. 
56,최알바,사지마세요.
57,최알바,그 말씀 그대로 점장님께 전해드릴게요.
58,진상 5,"잠, 잠깐만 왜이래~"
59,진상 5,조금 장난친거 갖고.
60,최알바,서로 기분 좋아야 장난이죠
61,진상 5,"에헤이, 어린 친구가 영~ 장난 받는 덴 소질이 없나봐! 떽!"
62,진상 5,일반 라이터라도 줘~
63,최알바,못마땅하지만..
64,최알바,주고 빨리 보내야지.
65,진상 5,다음엔~ 알지??
66,최알바,…안녕히 가세요.
67,최알바,터보 라이터 드릴게요.
68,최알바,저도 제 돈에서 까는거에요..
69,최알바,그러니까…
70,최알바,다음부터는 일반 라이터 받아가세요.
71,진상 5,군소리 하지 말고 줄거면 줘
72,진상 5,전에 일하던 애는 그냥 주더만.
73,진상 5,거 엄청 떽떽거리네
74,,할말하않 ㅗㅗ
75,최알바,전에 일하던 애 곧 보실겁니다.
76,진상 5,어. 수고~ㅋ
77,,인사도 하기 싫다.. ㅡㅡ
78,,진상 5(남)는 슬리퍼를 질질 끌며 밖으로 나갔다
